Date,DBMF,GLD,PSQ,QQQ,SH,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY
2020-02-07,26.3007,148.17,22.51,231.97,23.1,334.68,17.04,318.03,110.88,77.9,11.43
2020-02-10,26.3111,147.66,22.51,232.01,23.06,335.26,17.04,314.91,110.96,78.3,11.43
2020-02-11,26.3997,147.54,22.28,234.27,22.93,337.42,16.55,324.78,114.21,79.77,10.575
2020-02-12,26.3589,148.38,22.31,233.97,22.95,337.06,16.62,322.37,113.77,79.47,10.875
2020-02-13,26.455,149.0,22.26,234.64,22.91,337.6,16.49,326.52,114.54,79.86,10.69
2020-02-14,26.575,150.91,22.24,234.73,22.98,336.73,16.45,323.24,114.74,79.23,10.95
2020-02-18,26.7654,151.79,22.03,236.98,22.87,338.34,15.99,333.8,118.06,80.36,10.72
2020-02-19,26.8131,152.41,22.25,234.78,22.96,336.95,16.45,323.83,114.7,79.31,11.28
2020-02-20,26.7902,154.7,22.68,230.27,23.19,333.48,17.39,301.88,108.14,76.87,12.32
2020-02-21,26.3356,156.09,23.53,221.39,23.99,322.42,19.41,263.92,95.68,69.18,15.74
2020-02-24,25.8614,153.3,24.17,215.37,24.7,312.65,20.97,238.94,87.94,62.91,18.03
2020-02-25,25.8459,153.97,24.06,216.48,24.8,311.5,20.67,241.34,89.15,62.22,17.42
2020-02-26,25.1732,154.0,25.27,205.64,25.91,297.51,23.76,202.14,75.82,53.75,21.7
2020-02-27,25.0393,148.38,25.19,205.8,26.11,296.26,23.4,207.6,77.0,53.39,23.0
2020-02-28,25.5507,149.2,23.97,216.42,24.9,309.09,20.07,243.24,87.51,59.86,21.69
2020-03-02,25.729,153.89,24.74,209.48,25.63,300.24,22.08,214.65,79.27,54.77,25.51
2020-03-03,26.0933,154.16,23.73,218.22,24.55,312.86,19.33,243.28,88.89,61.66,23.31
2020-03-04,25.9783,157.49,24.43,211.59,25.37,302.46,21.04,219.59,81.09,55.47,28.73
2020-03-05,26.2047,157.55,24.85,208.02,25.79,297.46,22.09,206.08,76.84,52.7,33.52
2020-03-06,25.4142,157.81,26.56,193.57,27.8,274.23,26.66,160.01,61.23,40.39,45.84
2020-03-09,25.6667,154.48,25.14,204.11,26.41,288.42,22.5,190.4,70.76,46.77,40.47
2020-03-10,25.2767,153.93,26.24,195.22,27.68,274.36,25.28,164.15,61.66,39.88,48.2213
2020-03-11,24.29,147.79,28.64,177.32,30.34,248.11,32.27,115.84,44.76,28.31,65.2
2020-03-12,24.9448,143.28,25.95,192.34,27.54,269.32,23.12,156.98,56.84,36.17,57.03
2020-03-13,24.88,141.64,28.91,169.3,30.71,239.85,30.69,100.21,37.25,23.53,90.6
2020-03-16,24.31,143.56,27.16,182.14,28.6,252.8,25.08,108.77,43.32,27.92,87.72
2020-03-17,24.0173,140.7,27.92,176.6,30.28,240.0,26.94,98.44,39.31,23.64,111.02
2020-03-18,24.3413,138.04,27.68,177.66,30.36,240.51,26.6,97.18,40.22,23.49,93.9
2020-03-19,24.709,140.11,28.81,170.7,31.73,228.8,29.32,85.195,35.51,20.3,91.39
