Date,BITI,BSV,MSTR,TBT
2016-05-04,26.73,80.66,179.83,36.11
2016-05-05,26.73,80.63,182.57,36.43
2016-05-06,26.48,80.71,188.16,36.21
2016-05-09,26.22,80.69,190.5,36.21
2016-05-10,26.19,80.71,185.19,35.77
2016-05-11,26.27,80.61,184.45,36.08
2016-05-12,26.59,80.64,182.15,35.42
2016-05-13,26.6,80.58,182.49,35.97
2016-05-16,26.43,80.48,179.0,35.93
2016-05-17,26.32,80.36,178.84,36.62
2016-05-19,26.74,80.35,183.52,36.42
2016-05-23,26.64,80.3,189.39,36.65
2016-05-24,26.55,80.34,187.09,36.96
2016-05-25,25.69,80.33,190.93,36.63
2016-05-27,25.6,80.35,186.54,36.49
2016-05-31,25.57,80.28,186.47,36.24
2016-06-01,25.75,80.3,190.7,35.72
2016-06-02,26.1,80.56,188.69,34.69
2016-06-03,26.44,80.56,194.71,35.22
2016-06-06,26.27,80.62,193.88,34.98
2016-06-07,26.46,80.63,192.3,34.64
2016-06-08,26.51,80.67,192.09,34.17
2016-06-09,25.8,80.76,187.76,33.86
2016-06-10,39.8,76.15,178.96,28.45
2022-06-21,41.3,76.38,170.91,26.94
2022-06-22,39.63,76.56,188.31,26.48
2022-06-23,39.03,76.56,205.44,27.22
2022-06-24,39.82,76.43,196.73,27.66
2022-06-27,40.98,76.46,186.12,27.45
2022-06-28,40.97,76.59,179.69,26.63
2022-06-29,43.9,76.79,164.3,26.15
2022-06-30,42.63,77.03,166.77,25.67
2022-07-01,40.25,77.15,187.68,25.16
2022-07-05,40.47,76.84,188.3,26.02
2022-07-06,37.35,76.79,219.51,26.48
2022-07-07,37.4,76.63,221.28,27.06
2022-07-08,39.685,76.69,200.9,26.17
2022-07-11,41.89,76.74,192.52,25.9
2022-07-12,41.24,76.68,195.55,25.28
2022-07-13,39.11,76.62,204.59,25.68
2022-07-14,38.05,76.67,213.98,25.43
2022-07-15,37.28,76.63,225.63,25.93
2022-07-18,34.2,76.51,267.17,26.23
2022-07-19,33.76,76.52,288.77,26.04
2022-07-20,34.37,76.85,289.71,25.17
2022-07-21,35.36,77.14,281.92,24.3
2022-07-22,36.54,77.05,265.86,24.82
2022-07-25,38.075,77.03,237.64,24.74
2022-07-26,34.59,77.18,262.4,25.01
2022-07-27,32.99,77.46,275.72,24.63
2022-07-28,32.92,77.47,286.06,24.75
2022-07-29,34.21,77.39,275.74,23.58
2022-08-01,34.27,77.02,278.26,24.58
2022-08-02,33.45,77.05,313.68,23.8
2022-08-03,35.0,77.24,309.31,23.86
2022-08-04,34.2,76.83,319.15,24.99
2022-08-05,32.72,76.85,330.01,24.2
2022-08-08,33.93,76.75,319.38,24.39
2022-08-09,33.05,76.87,335.8,24.71
2022-08-10,32.25,76.82,336.99,25.86
2022-08-11,32.27,76.93,352.84,25.34
2022-08-12,32.53,76.99,349.08,25.39
2022-08-15,32.64,77.09,342.64,25.18
2022-08-16,33.62,76.72,325.2,25.71
2022-08-17,33.41,76.82,324.38,25.66
2022-08-18,36.41,76.71,283.0,26.46
2022-08-19,36.93,76.57,268.09,26.69
2022-08-22,36.01,76.59,265.8,26.96
2022-08-23,35.7,76.48,274.41,27.38
2022-08-24,35.94,76.61,272.81,26.63
2022-08-25,37.83,76.63,249.2,26.2
2022-08-26,38.6,76.42,244.96,26.67
2022-08-29,38.95,76.38,240.23,26.48
2022-08-30,38.45,76.29,231.56,26.99
2022-08-31,39.09,76.13,220.92,28.02
2022-09-01,38.93,76.24,218.06,27.73
