Date,PSQ,QLD,QQQ,SHY,SPY
2013-02-08,24.4,59.77,68.03,84.44,151.76
2013-02-11,24.43,59.53,67.92,84.4,151.78
2013-02-12,24.42,59.5,67.93,84.4,152.32
2013-02-13,24.52,59.0,67.66,84.4,151.71
2013-02-14,24.42,59.52,67.94,84.4,152.43
2013-02-15,24.42,59.46,67.88,84.41,152.38
2013-02-19,24.31,60.06,68.22,84.41,153.1
2013-02-20,24.77,57.76,66.94,84.43,150.9
2013-02-21,24.81,57.63,66.85,84.44,151.14
2013-02-22,24.52,58.86,67.57,84.42,152.6
2013-02-25,24.96,56.8,66.4,84.45,149.7
2013-02-26,24.92,57.07,66.56,84.46,149.89
2013-02-27,24.66,58.22,67.25,84.47,151.87
2013-02-28,24.78,57.61,66.87,84.46,151.09
2013-03-01,24.66,58.1,67.16,84.45,151.76
2013-03-04,24.32,59.74,68.08,84.44,153.65
2013-03-05,24.03,61.14,68.89,84.42,154.83
2013-03-06,24.14,60.55,68.59,84.42,154.69
2013-03-07,24.02,61.15,68.92,84.4,155.47
2013-03-08,24.11,60.76,68.68,84.41,155.35
2013-03-11,24.09,60.91,68.77,84.41,155.93
2013-03-12,24.06,60.91,68.81,84.42,155.75
2013-03-13,24.03,61.07,68.87,84.4,156.31
2013-03-14,24.03,61.12,68.75,84.41,155.87
2013-03-15,24.34,59.62,67.88,84.43,154.29
2013-03-18,24.1,60.81,68.57,84.44,155.29
2013-03-19,24.04,60.9,68.71,84.44,155.51
2013-03-20,24.25,59.86,68.08,84.43,154.79
2013-03-21,24.22,60.0,68.21,84.44,154.85
2013-03-22,23.99,61.03,68.81,84.44,155.99
2013-03-25,24.07,60.7,68.6,84.42,155.6
2013-03-26,24.18,60.08,68.24,84.46,155.27
2013-03-27,23.99,61.04,68.8,84.44,156.13
2013-03-28,23.91,61.43,69.02,84.39,156.6
2013-04-01,23.99,61.1,68.83,84.43,156.59
2013-04-02,23.9,61.56,69.08,84.46,156.92
2013-04-03,24.12,60.29,68.38,84.46,155.43
2013-04-04,24.5,58.53,67.35,84.48,153.98
2013-04-05,24.31,59.37,67.89,84.47,155.25
