Date,BITF,BITO,COIN,MARA,MSTR,RIOT,UVXY
2023-02-08,0.9634,13.71,59.63,5.95,249.04,5.65,5.34
2023-02-09,0.9002,13.55,57.09,5.92,243.37,5.51,5.45
2023-02-10,0.88,13.53,56.4,5.85,249.25,5.47,5.15
2023-02-13,0.97,13.9,59.03,6.72,271.14,5.9,4.84
2023-02-14,1.11,15.09,69.34,7.95,298.4,6.66,4.71
2023-02-15,1.05,15.36,65.59,7.21,284.03,6.36,5.08
2023-02-16,1.11,15.53,65.2,7.7,294.05,6.59,5.12
2023-02-17,1.06,15.27,62.07,7.13,269.92,6.22,5.67
2023-02-21,1.01,14.84,61.18,7.19,268.58,6.35,5.44
2023-02-22,1.06,14.95,62.36,7.28,265.75,6.37,5.17
2023-02-23,0.94,14.42,58.44,6.67,255.8,5.87,5.44
2023-02-24,0.9474,14.48,58.96,7.11,258.65,6.01,5.165
2023-02-27,0.95,14.45,64.83,7.1,262.27,6.25,4.99
2023-02-28,0.9499,14.43,64.67,6.51,257.91,6.14,5.07
2023-03-01,0.9261,14.48,63.7,6.26,252.89,6.18,4.79
2023-03-02,0.88,13.69,64.51,6.38,246.91,6.34,4.56
2023-03-03,0.8902,13.74,62.77,6.32,237.45,6.37,4.45
2023-03-06,0.8302,13.55,61.89,6.09,231.44,6.17,4.6
2023-03-07,0.82,13.57,63.01,6.18,232.72,6.3,4.49
2023-03-08,0.7131,12.35,58.09,5.51,210.82,5.53,5.18
2023-03-09,0.71,12.25,53.44,5.33,192.01,5.3,6.01
2023-03-10,0.82,14.98,59.17,6.7,223.16,6.25,6.32
2023-03-13,0.8637,15.47,62.65,7.13,229.47,6.89,5.77
2023-03-14,0.818,15.05,64.47,7.09,227.55,6.69,6.43
2023-03-15,0.8486,15.41,67.78,7.63,241.08,7.05,5.59
2023-03-16,0.8799,16.65,74.98,8.17,267.66,8.1,6.42
2023-03-17,0.91,17.17,75.14,7.85,263.96,8.55,6.02
2023-03-20,1.04,17.41,83.99,8.87,273.38,9.07,5.26
2023-03-21,0.9152,16.42,77.14,7.78,246.86,8.1,5.47
2023-03-22,0.9873,17.58,66.3,8.46,263.33,9.47,5.74
2023-03-23,0.9179,17.16,67.83,7.81,256.67,8.63,5.42
2023-03-24,0.895,16.6,62.54,7.11,238.96,8.04,5.09
2023-03-27,0.896,16.88,63.04,7.2,248.26,8.11,4.92
2023-03-28,0.95,17.49,65.3,7.95,284.03,9.23,4.65
2023-03-29,0.9271,17.23,64.16,7.83,279.23,9.14,4.64
2023-03-30,0.97,17.52,67.57,8.72,292.32,9.99,4.65
2023-03-31,0.941,16.76,63.61,8.43,297.39,9.67,4.46
2023-04-03,0.9356,16.83,62.54,8.51,298.98,9.56,4.58
2023-04-04,0.9089,16.84,60.78,7.93,290.84,9.15,4.52
2023-04-05,0.92,16.69,61.44,7.98,290.1,9.16,4.4
2023-04-06,0.96,17.47,66.13,9.1,312.78,10.58,4.34
2023-04-10,1.1,18.01,70.19,10.23,332.35,12.38,4.28
2023-04-11,1.1,17.79,67.84,9.95,322.83,12.35,4.31
2023-04-12,1.25,18.16,68.95,11.52,340.72,13.5,4.08
2023-04-13,1.25,18.11,69.91,11.97,333.75,13.48,3.98
2023-04-14,1.21,17.55,67.72,11.45,313.03,12.93,3.81
2023-04-17,1.25,18.02,67.26,11.68,329.85,13.45,3.77
2023-04-18,1.17,17.4,64.44,10.66,314.72,12.11,3.76
2023-04-19,1.065,16.69,60.5,9.52,294.71,10.9,3.88
2023-04-20,1.04,16.22,59.04,8.93,291.02,10.52,3.77
2023-04-21,1.05,16.28,54.75,8.89,285.33,10.39,3.75
2023-04-24,1.06,16.42,55.55,8.99,290.91,10.71,4.19
2023-04-25,1.13,16.6,53.89,9.46,299.46,10.91,4.03
2023-04-26,1.22,17.7,54.17,10.06,318.64,11.84,3.77
2023-04-27,1.16,17.41,53.79,10.07,328.38,11.96,3.56
2023-04-28,1.11,16.08,50.14,8.78,307.47,10.52,3.46
2023-05-01,1.15,16.64,51.32,9.55,328.01,11.78,3.69
2023-05-02,1.11,16.38,48.49,9.55,304.25,10.74,3.85
2023-05-03,1.08,16.74,49.22,10.27,312.235,10.84,4.13
2023-05-04,1.16,17.19,58.24,10.49,326.72,11.54,3.67
2023-05-05,1.07,15.81,58.1,9.33,294.67,10.49,3.57
2023-05-08,1.05,16.01,60.21,9.38,303.43,11.44,3.67
2023-05-09,1.11,16.01,62.64,10.22,315.11,12.28,3.54
2023-05-10,1.01,15.51,60.35,8.73,287.37,10.71,3.48
