Date,BIL,BTAL,COKE,COST,EDC,EDZ,EUM,FTLS,IAU,KMLM,LLY,MO,NVO,PGR,PSQ,QLD,QQQ,TLT,TQQQ,UUP,UVXY,VIXY
2021-04-14,91.5,17.01,301.78,346.4115,102.41,8.31,12.1,46.46,16.69,27.965,175.7836,36.7921,71.18,93.0293,13.04,132.48,339.55,139.48,109.44,24.66,4.67,8.24
2021-04-15,91.49,17.07,303.77,350.9876,103.47,8.23,12.06,46.96,16.9,28.0,179.2173,37.0274,72.18,95.4279,12.95,134.55,341.92,139.08,111.73,24.65,4.61,8.15
2021-04-16,91.49,17.16,307.87,352.2217,102.69,8.26,12.05,47.11,16.88,27.9433,180.9962,37.2984,72.76,93.7622,13.01,133.22,340.35,138.74,110.17,24.53,4.55,8.1
2021-04-19,91.49,17.33,311.0,350.323,101.88,8.37,12.07,46.51,16.84,28.12,182.1152,32.7564,72.91,94.5998,13.11,131.41,338.22,138.46,108.12,24.52,4.83,8.44
2021-04-20,91.49,17.65,308.71,352.8008,98.42,8.64,12.21,46.33,16.99,28.085,183.2152,33.6406,73.57,95.5326,13.23,129.05,335.08,139.57,105.0,24.6,4.94,8.56
2021-04-21,91.49,17.38,315.5,355.3927,101.66,8.35,12.08,46.88,17.0,28.38,181.7231,33.9258,74.18,95.8752,13.08,131.93,338.79,140.0,108.49,24.55,4.48,8.05
2021-04-22,91.5,17.12,314.0,352.4686,103.34,8.2,11.99,46.56,17.03,28.5199,178.8825,33.1414,74.0,95.4279,13.19,129.59,335.97,140.38,105.77,24.48,4.86,8.47
2021-04-23,91.49,17.11,317.53,354.9749,104.44,8.14,12.01,47.02,16.95,28.83,180.3554,33.7618,73.76,95.9609,13.04,132.53,339.76,140.16,109.47,24.48,4.57,8.15
2021-04-26,91.49,17.05,310.23,349.535,105.09,8.07,11.96,47.39,16.97,29.055,175.9844,33.6263,73.67,94.9139,12.94,134.24,341.93,139.57,111.53,24.47,4.55,8.12
2021-04-27,91.49,16.89,303.04,350.8451,106.45,7.96,11.92,47.28,16.86,29.07,173.5456,33.8687,73.61,95.5421,13.03,132.61,339.79,138.62,109.34,24.5,4.42,7.96
2021-04-28,91.49,16.83,300.25,350.6358,108.52,7.82,11.82,47.65,16.84,29.27,173.1725,32.8491,74.09,95.5611,12.91,134.55,342.44,137.46,112.0,24.39,4.29,7.81
2021-04-29,91.49,16.86,297.78,354.7934,102.45,8.24,12.02,47.23,16.87,29.275,173.9186,33.6833,74.01,96.8746,13.12,130.91,337.45,138.53,107.29,24.45,4.5,8.08
2021-04-30,91.49,16.82,296.48,355.6782,100.51,8.37,12.1049,46.97,17.04,29.1,175.0185,34.2752,75.06,96.8841,13.05,132.08,339.08,138.75,108.66,24.52,4.47,8.03
